"SAMPLE_NAME","OHSU-00001","OHSU-00002","OHSU-00003","OHSU-00004","OHSU-00005","OHSU-00006","OHSU-00007","OHSU-00008","OHSU-00009","OHSU-00010","OHSU-00011","OHSU-00012","OHSU-00013","OHSU-00014","OHSU-00015","OHSU-00016","OHSU-00017","OHSU-00018","OHSU-00019","OHSU-00020","OHSU-00021","OHSU-00022","OHSU-00023","OHSU-00024","OHSU-00025","OHSU-00026","OHSU-00027","OHSU-00028","OHSU-00029","OHSU-00030"
"5alpha-androstan-3beta,17beta-diol disulfate",0.681147,0.540932,0.812422,0.540932,0.807676,0.760765,1.409208,0.640315,0.540932,0.613936,1,0.540932,1.35385,0.644323,1.037521,1.322334,2.073688,1.930795,0.629077,0.920555,0.597933,0.672404,1.597295,1.075184,0.72514,1.394344,1.726933,1.941749,1.093714,1.245398
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",0.97701,1.422011,1.230193,1.009419,0.758012,1.138249,1.501184,1.076212,1.229998,0.990581,0.907467,1.698887,1.153617,0.931828,0.988969,0.781635,1.441863,0.897942,0.643558,1.021582,0.927665,1.024128,1.087985,0.879299,0.747167,0.878864,1.27882,0.871241,0.881873,1.222002
"7-alpha-hydroxycholesterol",0.733218,0.861501,0.324749,0.324749,0.324749,0.324749,1.138499,0.324749,0.324749,0.324749,0.324749,1.554196,1.524999,0.324749,1.152291,0.553428,1.356416,0.722063,0.455992,0.324749,0.324749,0.324749,1.147778,0.324749,0.758715,0.324749,0.324749,0.324749,1.366495,0.324749
"7-beta-hydroxycholesterol",1.584483,0.934668,0.406491,1.303699,1.637001,0.718337,1.520562,0.406491,0.406491,0.441566,0.876678,0.406491,1.282701,1.031333,1.165786,0.406491,0.406491,0.406491,0.406491,0.406491,0.406491,0.406491,1.624468,0.968667,0.967123,0.406491,0.413974,0.406491,0.406491,0.406491
"7-hydroxyoctanoate",0.784735,0.969184,1.147928,1.509557,0.746813,1,1.472201,0.860182,0.971389,0.746813,0.746813,1.222566,0.91111,0.746813,0.746813,0.746813,0.746813,1.486031,1.133123,0.746813,0.746813,1.087302,1.087814,0.980879,0.79613,0.746813,0.746813,0.846066,1.046004,0.746813
"acetylcarnitine",0.883718,1.430208,0.665391,1.024973,1.189273,0.870301,0.910779,0.860341,1.009106,0.656244,0.727484,1.517473,0.521435,0.85124,0.767697,0.884719,1.087652,0.545968,0.940668,0.639394,1.875158,1.098006,1.559022,1.1783,1.218861,1.146965,2.659654,1.382155,1.215979,0.990894
"acetylphosphate",1.180768,1.075839,0.937508,1.566551,0.777247,1.198021,1.76333,0.891334,0.981091,0.771178,0.891285,0.969816,0.886079,1.134056,0.642109,1.403815,1.230184,0.997901,1.53782,0.550789,0.762964,0.748836,1.035347,1.226493,0.858824,1.31805,1.002098,1.045039,1.154893,0.78606
"adenosine 5'-monophosphate (AMP)",0.641258,1.136142,0.54232,0.54232,1.63065,0.54232,0.54232,0.54232,0.54232,1.710794,0.54232,0.543348,0.54232,1.567042,0.818395,0.786323,0.920786,1.138594,1.089769,0.585577,0.54232,0.746263,1.45365,1.222858,0.775346,1,1.56125,0.54232,0.834664,4.637959
"adrenate (22:4n6)",1.033781,1.403312,1.220987,2.026553,1.416975,1.319687,1.60509,1.827798,1.185376,1.070305,0.291411,0.994923,0.303216,1.110235,0.746815,0.822274,0.396929,0.778797,1.180967,0.547603,1.018574,0.612859,0.563793,0.901723,0.742609,1.005077,0.669872,0.676863,0.334106,1.209344
"alanine",1.084936,0.896475,0.598336,1.00347,0.5761,0.812775,0.660447,0.675179,0.749089,0.99653,1.971887,1.134576,1.094969,1.362926,0.831057,1.026438,1.252871,1.664707,1.349748,0.89303,1.354991,0.925704,0.904283,0.953492,1.122457,0.892833,1.792642,0.776509,1.058163,2.045612
"allantoin",1.653973,1.255797,1.05958,1.558843,1.329363,1.306808,1.327479,1.88744,1.466057,1.787816,1.156025,0.475009,0.858488,0.945511,0.869306,0.749474,1.176079,1.181019,1.022716,0.876626,0.78566,0.711712,0.88335,0.537783,0.327167,0.802965,0.185883,0.944144,0.977284,1.208036
"alpha-hydroxyisovalerate",1.154494,1.033849,0.675246,0.974941,0.872059,0.775815,1.21056,0.800139,1.284789,0.708628,0.832211,0.758787,0.879464,0.937436,0.7916,1.07521,1.261639,1.039791,1.165518,1.025059,0.617809,1.17522,0.958013,1.260457,0.600337,1.078505,1.104903,1.054439,1.296981,0.656462
"alpha-ketoglutarate",0.322333,0.566281,0.322333,0.322333,0.462202,1.141214,0.775209,2.094471,1,0.322333,2.000038,0.322333,0.322333,0.932589,0.322333,0.322333,0.686753,1.918211,1.936424,0.615171,0.322333,0.465171,1.370603,1.307757,0.322333,0.322333,0.322333,0.857844,1.536645,1.171085
"alpha-tocopherol",0.973719,0.484777,0.542423,1.510244,0.05177,1.060364,1.809481,0.366967,1.397784,0.753667,0.980837,0.819553,0.855033,1.423356,0.811821,1.48931,1.167315,0.760496,2.211762,1.017971,1.180025,0.986514,0.969216,1.509531,1.364514,1.541352,0.685311,0.768326,2.190668,1.013486
"arabitol",1.138885,0.286562,0.286562,0.644204,0.286562,0.286562,0.357055,0.286562,0.286562,0.724117,0.914158,0.870777,1.115883,0.592239,1.5582,0.412366,1.728341,1,1.629197,0.985051,0.286562,1.269118,1.319136,0.286562,0.952659,0.286562,1.343748,0.286562,1.295501,1.662027
"arachidonate (20:4n6)",1.102081,1.422136,1.140843,1.396739,1.055372,1.103706,1.286295,1.45377,1.022606,1.19009,0.676652,0.851883,0.710271,0.930444,1.10534,0.891662,0.759281,1.197292,1.068019,0.811463,0.906081,0.891828,0.814913,1.109754,0.90229,0.977394,0.660052,0.973632,0.953509,1.142448
"arginine",0.686402,0.938266,0.819598,1.05616,0.520075,0.711723,0.727366,0.880548,0.685229,0.598725,1.546975,1.558571,1.446569,1.691451,0.742887,1.279939,1.104241,1.214504,1.010225,1.56801,1.528473,1.209384,1.743179,0.950849,1.3815,0.918337,1.064862,0.930671,0.957971,0.989775
"asparagine",0.568649,0.248403,0.380106,0.899702,0.248403,1.196412,0.35837,0.284242,0.408788,0.44893,2.236335,0.248403,0.967638,1.300703,1.032362,1.2485,0.295862,2.187367,0.834751,1.414822,1.892385,0.321117,1.933014,0.804401,1.924463,1.642856,1.351754,1.038586,0.933723,2.532148
"aspartate",1.010284,0.86592,0.673649,0.89323,0.982893,0.622111,0.884106,0.989716,0.733311,0.858483,1.975731,1.226912,1.514286,1.193516,1.281549,0.865158,1.676435,1.992612,1.376153,0.954098,0.911368,0.972341,1.015202,0.828403,1.238185,0.754084,1.578759,1.09556,1.067332,1.162488
"azelate (nonanedioate)",1.028875,1.035295,1.106611,1.116454,0.964431,0.841164,1.01249,1.110164,1.067817,1.0742,1.013266,0.809353,0.868671,1.071325,1.204795,0.763695,0.957423,0.990785,2.736163,0.856321,1,0.74277,0.747576,0.795617,1.056369,0.798008,0.966313,0.74277,0.764055,1.04876
"benzoate",0.932559,0.914311,1.173046,1.053061,0.748953,0.766625,1.108365,0.72032,1.156467,0.796804,1.1932,1.02158,1.154353,1.179766,0.818209,1.079979,1.15695,0.941608,1.309855,0.70929,0.844713,0.972154,1.01025,1.188879,0.959222,0.977506,0.98975,1.384433,1.879208,0.92678
"beta-alanine",0.970592,0.456934,0.617262,1.239097,0.834157,0.456934,0.92612,0.456934,0.892217,0.908876,1.688287,0.561815,1.007332,1.499513,0.456934,1.439009,0.668555,2.169967,1.914293,0.649373,0.784528,1.27597,0.773808,1.128825,1.008389,1.841666,0.456934,0.992668,1.439007,2.483804
"beta-hydroxyisovalerate",0.776627,0.499205,0.77329,0.618696,1.087164,0.537082,0.735251,0.499205,0.87446,0.504221,1.819879,0.642167,0.499205,1.114545,0.499205,1.083882,1.610286,0.516456,0.764275,0.942421,1.999303,1.096758,1.055872,0.775442,1,1.321867,1.568808,1.428718,1.793344,1.053668
"betaine",0.690864,0.704274,1.010904,0.59142,0.693672,1.015598,1.234567,0.638297,0.604546,0.797326,0.521624,1.061454,1.821214,1.059281,0.851281,1.396289,1.849334,1.04473,0.989096,1.160904,0.803507,1.250511,1.665229,1.174655,1.142992,0.716525,1.785533,0.740397,0.501165,0.921109
"bilirubin (E,E)*",1.491401,1.307903,1.186304,3.407313,1.827538,1.14936,2.025295,0.953313,1.661184,0.526214,0.57753,0.596008,0.809945,1.614857,1.116852,0.677753,0.656429,0.635982,0.556433,0.475994,1.12981,1.058429,1.399551,1.018619,0.981381,0.793878,0.809311,1.365966,0.839278,0.938971
"bilirubin (Z,Z)",0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,0.827769,1.130509,0.827769,0.827769,0.869491,0.827769,0.827769,0.827769,1.264566,0.827769,0.827769
"bradykinin",1.126864,0.905989,1.076954,0.743343,1.657511,1.01731,1.19543,1.065582,0.580417,0.980099,2.268076,0.549875,0.967191,0.438697,2.33373,1.119875,0.784078,1.694292,1.363766,1.595134,1.397272,0.62831,0.698914,0.408757,0.64767,1.031976,0.394913,0.98269,1.65729,0.66215
"bradykinin, des-arg(9)",1.170825,0.944055,0.478996,0.347936,1.10364,1.113627,0.396103,0.751484,0.901267,0.790589,1.10521,1.376459,0.571931,0.688834,1.072783,1.186723,0.893788,0.94655,1.285333,0.708092,1.547076,1.710299,0.682254,1.256019,1.600345,1.158644,0.839964,1.05345,1.790302,0.774555
"bradykinin, hydroxy-pro(3)",1.165843,1.150128,1.420588,1.181796,1.004268,0.694812,0.65507,1.087528,1.363762,1.397293,1.00682,0.954446,1.346637,1.043219,1.081345,0.698035,0.846168,0.995732,1.337224,1.409791,0.79323,0.574207,0.525481,0.674675,0.830733,0.616452,0.532191,0.599781,0.76557,1.19486
"butyrylcarnitine",0.642696,0.470114,0.274529,0.402547,0.459351,0.274529,0.274529,0.387566,0.274529,0.274529,1.311891,1.127622,0.274529,0.597106,0.274529,1.039176,0.515154,0.691039,1.364652,0.597343,2.06443,0.960823,1.351866,1.092125,1.304314,1.080682,2.788514,1.337406,1.047942,0.438224
"C-glycosyltryptophan*",1.369131,1.135712,1.750697,1.360235,1.124198,1.161615,1.516479,1.181734,0.923212,0.902159,0.847919,1.01686,1.037165,0.961529,0.86043,0.734984,1.094576,1.100904,0.846808,0.994179,1.151646,0.981986,1.52764,0.78294,1.005821,0.594298,0.913149,0.847098,0.803843,0.954712
"caprate (10:0)",0.935697,1.159577,1.50876,1.195748,0.867469,0.916809,1.437002,0.94954,1.43596,0.736734,1.155269,1.048161,1.313831,0.863383,0.951839,0.750803,1.267257,0.784772,1.114115,0.640458,0.92938,1.113625,0.881257,1.172969,1.158352,0.858492,0.9144,1.334127,1.267121,0.74303
"caproate (6:0)",0.999369,1.096056,1.387344,1.103608,1.007479,0.889972,1.396638,1.35724,1.16054,0.908436,1.014185,1.063617,1.192258,1.000631,0.911385,0.689378,1.299968,0.781637,0.931749,0.636701,0.788401,0.914038,0.783464,1.122634,0.906196,0.717309,0.811753,1.078778,1.004186,0.651723
"caprylate (8:0)",0.979577,1.200775,1.48228,1.124468,0.804248,0.886809,1.396091,0.946981,1.170079,0.705145,1.050576,1.245551,1.755943,0.828404,0.859363,0.703649,1.855372,0.794498,1.215135,0.542499,0.873337,1.061882,0.875325,1.229498,1.020423,0.814759,0.904477,1.361378,1.304731,0.649363
"carnitine",1.285604,1.190528,0.834147,1.26076,1.102552,0.857709,0.760193,0.833815,0.829294,0.918231,1.126709,1.278909,0.567556,1.06153,1.10005,0.875836,0.471444,0.905625,1.088842,0.95566,1.363046,0.716794,0.984707,1.241574,1.212564,0.977504,0.884848,1.222107,1.015293,1.064003
"carnosine",1.481775,1.355767,0.988093,0.425422,1,0.425422,1.230414,0.658743,1.03626,0.861334,1.025476,0.946332,1.187216,0.425422,1.045189,0.570456,1.037007,0.904088,0.924966,0.98358,1.160234,1.246583,1.309473,0.425422,0.891244,0.470483,1.181273,0.75897,0.946244,1.160082
"catechol sulfate",0.158289,0.166322,0.29097,0.44153,0.240572,0.351231,0.243999,0.163996,0.438798,0.135842,0.929772,1.947412,2.09892,2.09883,1.235433,0.839093,3.021259,1.070228,1.150789,1.535871,1.860854,1.545626,2.317127,2.045323,4.184872,0.675055,7.869141,1.185327,0.742481,0.791778
"chiro-inositol",0.462183,0.462183,0.462183,0.462183,0.462183,0.462183,0.462183,0.462183,0.462183,0.462183,0.462183,0.462183,0.462183,0.88247,0.586889,0.462183,0.872909,1.771765,0.462183,1,0.462183,1.029286,1.191495,0.465256,1.866693,0.462183,5.055384,0.462183,1.606503,0.860396
"cholate",0.227468,0.227468,0.227468,0.227468,1.266257,1.634643,0.227468,0.227468,0.227468,0.227468,0.227468,2.273916,1.891992,0.521781,0.227468,0.824186,0.523297,1.31898,0.682238,0.3037,0.227468,2.248396,6.968153,0.2406,9.527858,0.593349,36.335155,0.230794,1,0.227468
"cholesterol",1.013602,0.807181,0.838522,1.247124,0.794941,0.923276,1.185884,0.837593,0.99598,0.799757,1.00402,0.887951,1.13425,1.270947,0.879491,1.137698,1.14555,1.054617,1.581004,0.646648,0.896356,0.888754,1.085505,1.317116,0.786992,1.182318,0.905423,1.048691,1.477957,0.677826
"choline",0.849336,0.934692,0.853027,0.812534,1.132071,0.785985,0.882909,0.578892,0.771475,0.949109,0.909423,1.132619,1.060641,0.775641,1.07313,1.361553,1.678512,0.980456,0.986986,0.81826,1.038947,1.35844,1.200642,1.441341,1.394805,1.478512,1.776969,1.132378,1.013014,0.906247
"cinnamoylglycine",0.262103,0.289252,0.306721,0.393159,0.31261,0.27852,0.289078,0.286547,0.239412,0.239412,0.91054,2.099166,2.159991,1.362745,0.402775,1.459889,2.775212,1.620765,1.366999,0.596047,1,1.719898,3.299543,1.723805,0.40084,2.252054,2.163237,1.221688,1.538587,0.2415
"cis-4-decenoyl carnitine",2.600317,2.527751,2.776164,2.140754,1.955411,1.483939,3.188512,1.916734,1.232257,1.577039,0.248343,0.595964,0.991035,0.718921,0.681754,0.661093,1.838069,0.427935,0.339606,0.530269,2.17806,0.796662,1.242873,0.823144,1.260591,0.589767,1,0.828344,0.248343,0.914957
"cis-aconitate",1.03717,0.987164,0.935396,1.130308,1.028656,1.093748,1.345425,1.047735,0.773806,0.958682,1.18305,0.857099,1.305252,1.012836,0.948673,0.777141,1.351218,1.140494,0.910979,0.965526,1.049819,0.899334,1.367561,1.039361,0.943119,0.890737,1.414241,0.652898,0.917473,0.948921
"cis-vaccenate (18:1n7)",1,1.951979,1.680824,3.824745,1.440071,2.563775,1.914641,2.30876,2.130535,1.904607,1.224806,1.595381,3.130659,0.713069,0.505768,0.505238,0.885794,0.59197,0.939788,0.382258,0.478199,0.428603,0.7851,1.135221,0.382258,0.805749,0.738202,0.729457,1.16494,0.914847
"citrate",0.982784,0.910543,0.80912,1.296886,0.8033,0.728589,1.13478,0.85347,0.812366,0.781676,1.168552,0.776878,1.766777,1.395482,1.067058,0.834329,1.627944,1.239482,1.008373,1.064249,0.902245,0.85885,1.425714,1.065026,0.991627,0.803881,1.529815,0.406695,1.042057,1.055622
"citrulline",1.438654,1.217245,1.268349,1.469566,1.192342,1.15113,1.293086,1.136887,1.161118,1.319221,0.943314,0.764855,0.988886,0.886975,1.011114,0.680966,1.086837,1.057277,0.853473,0.925238,0.981896,0.922374,1.288668,0.980399,0.834419,0.619638,1.161653,0.769347,0.849804,0.83116
"cortisol",1.341062,1.822473,0.393409,1.362597,1.049387,1.969785,1.413072,1.832611,0.895066,1.224848,1.151657,1.263405,0.513387,0.867963,1.07038,1.046665,0.959147,0.69315,0.602859,1.188025,0.937004,0.584008,0.594374,0.5372,0.773866,1.11652,0.812537,1.040853,0.86338,0.860701
"cortisone",1.211986,1.005668,1.09997,1.155254,0.983603,1.524256,1.489097,1.208884,1.570414,1.299483,1.007216,0.868946,0.826649,0.895157,0.747949,1.151899,0.865489,0.733935,0.694553,1.087863,0.994332,0.856419,0.828277,0.749924,0.690119,1.241515,1.013764,0.613504,0.776511,1.230451
"creatine",0.260301,0.809516,0.956606,0.980359,1.230937,0.785074,1.257831,0.644378,0.908345,0.591024,0.474157,1.235767,1.33175,1.378281,1.565017,1.592047,1.425259,1.173032,1.360534,1.325553,0.40095,1.174787,0.738255,1.348722,1.001722,0.998278,1.17831,0.966904,0.892754,0.705205
"creatinine",1.659962,1.838181,1.483348,1.145507,1.164339,1.399438,1.046734,1.467324,1.315471,1.229153,0.815339,0.952777,0.850037,0.712932,0.896293,0.766283,0.694528,1.012691,0.823718,0.906015,1.016521,1.012897,1.001843,0.757626,0.821679,0.735489,0.562504,0.998157,0.923562,1.068739
"cysteine",0.836081,0.662891,0.330226,0.414248,0.81119,0.808537,1.007203,0.959089,1.187175,0.635215,0.886706,1.344389,1.989387,1.408309,1.154787,0.379829,1.352767,1.005556,0.886681,0.975403,1.185387,1.76575,1.369216,1.349842,0.868201,1.331465,0.994444,1.146435,1.33338,0.843386
"dehydroisoandrosterone sulfate (DHEA-S)",1.720671,1.067403,1.800932,1.460476,0.853057,4.647368,1.539521,1.23985,1.85868,3.686263,1.103731,0.549823,0.802975,0.674233,0.317821,2.561421,0.493675,0.673682,0.932597,2.717635,0.675396,0.367817,1.373677,0.595032,0.355408,2.122595,0.437694,0.92139,0.780559,2.210477
"deoxycarnitine",1.454368,1.507689,0.87869,1.118551,1.105658,0.973308,1.00403,0.64387,0.76387,0.881901,0.89409,1.368977,0.797444,0.756926,0.99597,1.031325,0.715852,0.976821,0.834292,0.800467,1.496986,1.101678,1.359233,0.906707,1.698814,1.268588,2.179539,1.327325,0.895925,1.092469
"deoxycholate",1.923167,0.939648,0.322602,1.387614,2.042374,0.954079,0.384009,0.233374,0.509677,1.290138,1.105961,2.805392,0.626503,1.238638,1.171398,1.304155,1.709593,0.521109,0.49291,0.850426,1.045922,1.832749,0.298355,1.541942,5.337172,0.952705,2.932378,0.440497,0.26306,0.595754
"dihomo-linoleate (20:2n6)",2.436596,3.130766,2.464085,4.244345,2.394361,2.888602,2.914512,3.540607,2.141909,2.77538,0.658801,0.879164,0.724198,1.033479,0.807586,0.791079,0.966521,0.890937,0.80947,0.800043,0.907112,0.546948,0.823433,1.609711,0.790115,1.16686,0.682709,0.673867,1.076768,1.121411
"dihomo-linolenate (20:3n3 or n6)",1.426898,1.651228,1.418339,1.622467,1.387458,1.511848,1.736763,1.683857,1.252499,1.307967,0.660699,0.801456,0.599283,0.946869,1.035711,0.804607,0.766029,1.151228,0.986071,0.797959,0.849696,0.676188,0.829198,1.208443,0.910527,1.0766,0.681681,0.811826,0.886976,1.013929
"dimethylarginine (SDMA + ADMA)",1.060363,1.14598,1.113655,1.495407,0.937039,0.86905,1.147147,1.143155,1.22115,0.902629,0.988344,1.051713,1.079485,1.011657,0.980554,0.693567,1.262337,1.184427,0.889799,0.890127,0.943616,0.968247,1.062546,0.808793,0.841691,0.739071,0.771393,1.08695,0.881256,1.026064
"dimethylglycine",0.743491,0.364453,0.364453,0.892439,0.364453,0.364453,1.780913,0.662414,0.364453,0.364453,0.873137,0.70736,0.364453,0.658645,1.432254,0.364453,1.755785,0.364453,1.347507,1.165638,0.807867,0.364453,1.212853,0.679127,1.088131,0.6534,2.799272,1,1.735388,1.518222
"docosadienoate (22:2n6)",1.590672,2.844324,1.918915,2.257834,1.495055,2.301018,1.963094,4.145386,1.322621,1.810154,0.456003,1.355448,0.806512,0.492434,1.01926,0.456003,0.624875,0.60794,0.827747,0.64329,0.686899,1,0.635164,1.257551,0.471872,1.160544,0.735281,0.785193,0.97089,0.697011
"docosahexaenoate (DHA; 22:6n3)",0.801852,0.764292,0.630397,0.843009,0.735095,0.65369,0.635943,0.54896,0.568516,0.664991,0.902096,1.117909,0.941171,1.220178,1.29357,1.067604,1.021394,1.337915,1.26986,1.042401,1.740571,0.843944,1.132622,1.377116,1.270564,1.509946,0.78791,0.978606,1.227617,1.756463
"docosapentaenoate (n3 DPA; 22:5n3)",1.400602,1.159624,0.655679,1.273807,0.853767,1.512952,0.856106,0.761274,0.617507,0.905791,0.662427,0.75354,0.696404,1.184639,1.046793,1.028902,1.048964,1.383422,0.99597,0.894152,1.697416,0.91384,1.143848,1.365891,0.813788,1.500876,0.792927,0.792607,1.00403,1.662892
"dodecanedioate",1.220965,1.460268,1.100542,1.130063,0.806395,0.873239,1.104701,1.604821,0.941602,1.155523,0.806395,0.806395,0.806395,0.806395,0.978692,0.806395,1.011459,0.806395,0.912127,0.988541,0.98453,0.806395,0.806395,0.806395,1.104942,0.916132,0.812247,0.806395,0.806395,0.806395
"EDTA",1.16724,0.891716,1.058873,1.041881,0.963624,0.933815,0.899621,1.030427,1.132571,0.84879,1.025691,0.948523,1.070407,1.24663,0.956066,1.282041,1.068646,1.102654,1.176641,1.043812,0.976771,0.786921,0.780417,0.968244,1.023229,0.972892,0.836519,0.717905,0.881449,1.058777
"eicosapentaenoate (EPA; 20:5n3)",0.847194,0.711453,0.845363,0.814915,0.801798,0.79425,0.691783,0.812186,0.841318,0.621798,1.312461,1.200401,1.168745,1.317131,1.213802,1.072121,1.010006,1.198155,1.471625,0.915608,0.989994,0.95726,0.906867,1.119011,1.090837,1.135023,1.14197,0.955077,1.023412,1.150241
"eicosenoate (20:1n9 or 11)",2.439842,3.558426,3.246574,4.175205,2.348274,3.028458,2.771496,3.776824,2.09262,2.779294,0.662644,0.992929,0.967736,0.849547,0.80484,0.887979,1.007071,0.611516,0.829568,0.513915,1.010193,0.43647,0.857892,1.332785,0.658418,1.261924,0.632718,0.593304,1.208425,0.788711
"epiandrosterone sulfate",1.575091,0.45854,1.578974,0.759151,1.608957,1.584102,0.932809,1.002221,0.827464,1.562454,1.048514,0.45854,1.078171,0.478792,0.988923,0.675719,0.45854,0.984199,0.997779,1.083158,0.703547,0.532324,1.870086,0.819343,1.545095,0.814813,0.988127,1.068406,1.27636,1.697925
"erythritol",1.064062,0.802683,0.664581,0.951829,1.231194,0.714977,1.077378,1.119891,0.868518,0.939506,1.225027,1.118047,1.291767,0.984243,1.275642,0.665499,1.982588,1.232721,0.762836,1.012302,0.802896,1.296907,2.118181,0.865122,2.11604,0.638445,3.293542,0.847991,0.987698,0.792096
"erythronate*",1.309664,0.945505,0.631896,1.035372,1.01391,0.833883,0.998387,0.770874,0.988936,0.789239,1.358496,1.203114,1.255071,1.228421,1.045324,0.858052,1.792726,1.001613,0.811718,0.624947,0.797269,1.314398,1.280298,1.066904,1.077982,0.497731,1.369629,0.63576,0.869228,0.521121
"erythrose",0.768547,1.333551,0.480391,1.438711,1.447854,3.924952,1.638536,0.378126,0.655337,0.813041,0.31831,1.005715,1.448298,0.882728,0.851091,0.87848,1.018245,0.297609,0.395608,1.065774,1,1.122548,1.230395,1.433764,1.228831,1.515156,0.462481,0.490354,0.595282,0.297609
"fructose",0.909586,0.836443,1.611319,0.874968,0.677086,0.531713,0.544095,0.963355,0.833422,0.931385,1.386413,2.933725,2.328804,1.396873,1.311341,1.03025,5.057961,1.308447,0.626007,1.537165,0.784868,2.171798,1.532355,1.704,1.532105,0.96975,1.5107,0.781173,0.650629,0.870309
"fumarate",1.048113,0.914214,0.562232,1.341723,0.359139,1,1.145539,1.22242,0.502877,0.530821,1.506832,0.707051,1.527162,0.730227,0.578066,0.59485,2.516945,1.969644,1.070215,0.359139,1.212621,0.86498,1.435835,1.196136,0.555109,1.004454,0.405328,0.881635,1.283594,0.6788
"gamma-glutamyl-2-aminobutyrate",0.873258,0.596406,1.281181,1.094184,1.008695,0.462667,0.750583,0.666697,0.473965,0.991305,0.665091,1.193622,1.040614,1.123584,1.011751,0.860948,1.181639,1.134026,1.32283,0.926391,1.133785,1.375268,0.605444,1.155741,1.030339,0.907919,1.167406,0.535708,0.507378,0.708204
"gamma-glutamylalanine",1.058088,1.00493,0.78366,1.38449,0.650446,1.111252,0.718106,0.696095,0.717854,0.99811,1.184772,1.00189,1.269969,1.150366,1.003947,1.251787,0.607887,1.351866,1.034808,1.334793,1.279967,0.71137,0.825497,0.831846,0.844808,0.696821,0.878641,0.505373,0.662182,1.132476
"gamma-glutamylglutamate",1.172549,1.070461,0.996061,0.938962,1.470715,1.341558,1.403323,1.462247,1.003939,1.197645,1.164328,1.068058,1.324305,0.749989,1.132374,0.921926,0.842254,2.015322,1.034009,1.057385,0.415939,0.430792,0.867504,0.715002,0.515529,0.495632,0.463668,0.61321,0.518354,0.414798
"gamma-glutamylglutamine",0.921686,0.860477,0.641072,1.131126,0.698032,0.880994,0.52049,0.846208,0.773068,0.94667,1.305838,0.74428,1.029619,1.13334,1.160266,1.479272,0.402811,1.582782,1.124703,1.48412,1.425532,0.988278,1.011722,1.103613,1.246872,1.017509,0.813435,0.891999,0.942555,1.501336
"gamma-glutamylisoleucine*",1.286249,1.036237,0.975856,0.821602,1.418792,1.087367,1.68683,1.309432,1.134985,1.213067,1.695252,0.819325,1.340584,0.969143,1.300172,0.738472,1.024144,1.821079,1.522547,1.304806,0.814534,0.590235,0.774177,0.686134,0.651012,0.666077,0.630025,0.809579,0.888652,0.766727
"gamma-glutamylleucine",1.223442,0.952928,0.759784,0.81437,1.259779,0.940858,1.365937,1.108234,1.152776,1.251644,2.219968,0.781391,1.342034,1.196858,1.519163,0.923311,0.98496,2.016542,1.851932,1.690074,0.99907,0.662395,0.973033,0.867444,0.865951,0.763979,0.887089,0.975104,1.049152,1.00093
"gamma-glutamylmethionine",1.033911,1.012605,0.655852,1.245113,0.945114,1.091653,0.924218,0.655985,0.824337,0.991397,1.253157,0.910307,1.200213,1.314594,1.136234,1.330532,0.830857,1.779076,1.18596,1.655416,0.976897,0.660626,0.923219,0.812921,1.008603,0.860651,1.286663,0.727164,0.771813,1.208937
"gamma-glutamylphenylalanine",0.972529,0.744691,0.804722,0.804294,0.881983,0.842458,1.165422,0.850376,0.815886,0.892883,1.576916,0.709893,1.272184,1.35654,1.145981,0.989185,1.126462,1.507183,1.379848,1.441591,1.142074,0.671709,1.156367,0.913651,0.952398,0.886249,1.222826,1.010815,1.047176,1.194835
"gamma-glutamylthreonine*",1.22482,1.009143,0.90913,0.996652,1.058594,1.061342,1.322195,1.033813,0.875343,1.003348,1.625141,0.691321,0.85841,0.891686,1.154287,0.953814,0.720704,1.562469,1.046524,1.195407,1.130615,0.474119,1.179929,0.701794,0.891546,0.762993,1.005096,0.793982,0.762224,0.837303
"gamma-glutamyltryptophan",0.988424,0.863557,0.866182,0.874081,1.011576,1.190637,1.569161,1.176792,1.09564,0.946243,1.328577,0.718453,1.189524,1.091806,1.236905,1.071476,1.298131,1.152771,1.580229,1.242232,0.72575,0.587178,0.839158,0.863919,0.758149,0.865914,1.120311,0.578403,0.82117,0.919736
"gamma-glutamyltyrosine",0.890239,0.761919,0.741025,1.102425,1.025783,0.870747,0.876569,1.007385,0.810906,0.820452,1.743023,0.862902,1.21225,1.709388,1.326641,1.118307,0.782869,1.575329,0.978816,1.296942,1.244923,0.80839,0.999958,1.000042,1.099607,0.919252,1.03126,0.905313,0.818045,1.074888
"gamma-glutamylvaline",1.551802,1.127334,1.096808,1.00023,1.511409,1.229645,1.670639,1.422001,1.20072,1.406713,1.674493,0.744421,0.99977,0.996045,1.216375,0.860865,0.828933,1.715453,1.428796,1.274516,0.704489,0.562493,0.640194,0.684032,0.62547,0.740748,0.48228,0.870683,0.810284,0.819437
"glucose",0.924489,0.566992,0.771991,0.684121,0.476747,0.458418,0.679544,0.91866,0.953226,0.996683,1.042877,1.225178,1.256959,1.034235,0.794812,1.008211,1.374195,1.37944,1.067057,0.767704,0.650173,1.215563,1.213368,0.862602,0.830519,1.003317,1.589315,1.188693,1.157101,1.437437
